arguments: 36 6 1 0.273068 -0.363409 0.318068 -0.0454545
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.65, -0.05, 0.09, 0.96, 0.09, -0.05, -0.05, 0.72, -0.05, -0.05, 0.02, 0.89, 0.02, -0.05, 0.78, -0.05, 0.81, -0.05, -0.05, 0.85, -0.05, -0.05, 
-0.05, -0.05, -0.05, 0.62, -0.05, -0.05, -0.05, -0.05, 0.02, 0.09, 0.02, -0.05, -0.05, -0.05, -0.05, -0.05, 0.09, 0.23, 0.09, 0.00, -0.14, -0.06, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 
-0.05, 0.59, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.06, -0.14, 0.00, 0.09, 0.00, 0.00, -0.06, -0.14, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 
0.56, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.14, -0.41, -0.14, 0.02, 0.00, -0.34, -0.14, -0.06, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 
-0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.06, -0.14, -0.06, 0.02, 0.07, -0.07, -0.06, -0.05, -0.06, -0.14, -0.06, -0.05, -0.05, -0.05, 
-0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.09, 0.23, 0.09, 0.02, 0.09, -0.07, -0.41, -0.14, -0.05, -0.05, -0.05, 
0.53, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.02, 0.09, 0.02, 0.09, 0.23, 0.07, -0.14, -0.06, -0.05, -0.05, -0.05, 
-0.05, -0.05, 0.50, -0.05, -0.05, 0.46, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.06, -0.14, -0.06, -0.05, -0.05, -0.05, -0.05, 0.02, 0.09, 0.02, -0.05, -0.05, -0.05, -0.05, -0.05, 
-0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.14, -0.41, -0.14, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 
-0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.43, -0.05, -0.05, 0.40, -0.06, -0.14, 0.35, -0.05, -0.05, 0.34, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 
-0.05, -0.05, -0.05, -0.05, -0.05, -0.06, -0.14, -0.06, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.30, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 
